220,Quests and Questions,ASHA 220,none,none,none
321,Representation,ASHA 321,Arts and Science Honours Academy 220 and admission to the Arts and Science Honours Academy.,none,none
421,Invention,ASHA 421,Arts and Science Honours Academy 321 and admission to the Arts and Science Honours Academy.,none,none
501,The Nature of Research,ASHA 501,Arts and Science Honours Academy 421 and admission to the Arts and Science Honours Academy.,none,none
503,Capstone Seminar,ASHA 503,Arts and Science Honours Academy 501 and admission to the Arts and Science Honours Academy.,none,none
