301,Introduction to Nanoscience and Nanotechnology,NANS 301,Chemistry 209; or Chemistry 201 or 211; and 203 or 213; and 3 units from Mathematics 249$ 265$ 275.,none,none
401,Design in Nanoscience,NANS 401,Nanoscience 301.,none,none
443,Quantum World of Nanoscience,NANS 443,3 units from Mathematics 249$ 265 or 275; and Mathematics 211 or 213; and Physics 233 or 355; and admission to the Nanoscience concentration or minor.,Credit for Nanoscience 443 and Physics 543 will not be allowed.,none
502,Nanoscience Methods,NANS 502, Nanoscience 401 and admission to the Nanoscience minor.,none,none
511,Integration of Nanotechnology and Biology for Medical Applications,NANS 511, Nanoscience 401.,none,none
599,Special Problems in Nanoscience and Nanotechnology,NANS 599,Nanoscience 401 and admission to the Nanoscience minor. ,none,none
