301,A Multidisciplinary Survey of International Relations,INTR 301,Admission to the International Relations program.,none,none
501,Advanced Seminar in International Relations,INTR 501,International Relations 301$ admission to the International Relations program and completion of at least 60 units.,none,none
597,Directed Study in International Relations ,INTR 597,Admission to the International Relations program$ completion of at least 60 units$ and consent of the Program Co-ordinator. ,none,none
