401,Introduction to Architecture, Planning and Landscape Architecture ,EVDS401,none,none,none
402,Design, Digital Technology and the Built Environment,EVDS402,none,none,none
502,Designing Powerful Communication,EVDS502,none,none,none
523,Sustainability in the Built Environment,EVDS523,none,Credit for Environmental Design 523 and Architectural Studies 423 will not be allowed. ,none
583,Special Topics in Environmental Design,EVDS583,none,none,none
597,Special Topics in Environmental Design,EVDS597,none,none,none
