475,Introduction to Professional Land Management,PLMA 475,Admission to the Haskayne School of Business and 54 units. ,none,none
573,Energy Business Agreements,PLMA 573,Admission to the Haskayne School of Business and Professional Land Management 475.,none,none
579,Professional Land Management Policy,PLMA 579,Admission to the Haskayne School of Business$ Professional Land Management 475$ 573$ and Finance 317.,none,or Prerequisite: Professional Land Management 587.
583,Management of Energy Regulation,PLMA 583,Admission to the Haskayne School of Business and 54 units.,none,none
587,Cases in Professional Land Management,PLMA 587,Admission to the Haskayne School of Business$ Professional Land Management 475$ 573 and Finance 317.,none,none
