305,Introduction to Astrophysics ,ASPH305,3 units from Physics 211, 221, 227 or Engineering 202; and 3 units from Mathematics 267 or 277.,none,none
307,Introduction to Observational Astrophysics ,ASPH307,Astrophysics 213 or 305.,Credit for Astrophysics 307 and 507 will not be allowed.,none
401,Galactic Astrophysics,ASPH401,Physics 229 or 325; Physics 355; Mathematics 376 or 375; and Astrophysics 213 or 305.,none,none
403,Stellar Structure and Evolution,ASPH403,Astrophysics 213 or 305; Physics 229 or 325; Physics 341; and Mathematics 375 or 376.,none,none
409,Planetary Astrophysics ,ASPH409,Astrophysics 213 or 305; Physics 229 or 325; Physics 341; and Mathematics 376 or 375. ,Credit for Astrophysics 409 and 309 will not be allowed.,none
503,The Interstellar Medium,ASPH503,Astrophysics 401 and Physics 343. ,none,none
509,High Energy Astrophysics and Cosmology,ASPH509,Astrophysics 401 and Physics 343. ,none,none
607,Advanced Observational Astrophysics,ASPH607,none,none,none
611,Radio Astronomy,ASPH611,none,none,none
621,High Energy Astrophysics,ASPH621,none,none,none
