201,Exploring Sustainability,SUST 201,none,none,none
401,Sustainability Research Methods,SUST 401,Sustainability Studies 201 or University 207.,Credit for Sustainability Studies 401 and University 401.30 will not be allowed.,none
403,Sustainability Research Project,SUST 403,Sustainability Studies 401.,none,none
501,Capstone in Sustainability Studies,SUST 501,Sustainability Studies 403 and enrolment in the embedded Certificate in Sustainability Studies.,none,none
503,Directed Studies,SUST 503,Consent from the Academic Co-ordinator of Sustainability Studies.,none,none
