301,Electricity Regulation,ENMG 301,Admission to the Energy and Professional Land Management Concentration (Haskayne School of Business) or the Engineering Energy and Environment specialization (Schulich School of Engineering) or the Energy Sciences Concentration (Faculty of Science).,none,none
403,Overview of the Alberta Oil and Gas Industry,ENMG 403,Admission to the Haskayne School of Business and 54 units.,none,none
485,Oil and Gas Marketing,ENMG 485,Admission to the Haskayne School of Business and Finance 317.,none,none
487,Energy Risk Management,ENMG 487,Admission to the Haskayne School of Business and Finance 317.,none,none
489,International Energy Development,ENMG 489,Admission to the Haskayne School of Business.,none,none
