670,Design Research Methods,APLA 670,none,none,none
672,Design Research Writing,APLA 672,none,none,none
674,Design Innovation,APLA 674,none,none,none
680,Design Practice Research Project Definition,APLA 680,none,none,none
682,Contexts of Design Practice Research,APLA 682,none,none,none
684,Strategies for Design Practice Research,APLA 684,none,none,none
