619,Empirical International Trade ,ECON 619,none,none,none
621,International Trade,ECON 621,none,none,none
627,Energy Economics ,ECON 627,none,none,none
633,Labour Economics ,ECON 633,none,none,none
635,Regulatory Economics,ECON 635,none,none,none
641,Financial Economics,ECON 641,none,none,none
649,Empirical Public Economics,ECON 649,none,Credit for Economics 649 and 611.48 will not be allowed.,none
651,Redistribution and Social Insurance,ECON 651,none,none,none
653,Public Revenue Analysis,ECON 653,none,none,none
655,Cost/Benefit Analysis,ECON 655,none,none,none
657,Microeconomic Theory,ECON 657,Admission to the Master of Arts Economics program.,none,none
659,Macroeconomic Theory,ECON 659,Admission to the Master of Arts Economics program.   ,none,none
661,Behavioural Economics,ECON 661,none,none,none
667,Industrial Organization,ECON 667,none,none,none
669,Empirical Industrial Organization,ECON 669,none,Credit for Economics 669 and 611.71 will not be allowed.,none
675,Natural Resource Economics,ECON 675,none,none,none
677,Environmental Economics,ECON 677,none,none,none
679,Health Economics,ECON 679,none,none,none
691,Research Methods I,ECON 691,none,none,none
693,Research Methods II,ECON 693,none,none,none
695,Research Methods III,ECON 695,Admission into the Master of Arts Economics (course-based) program.    ,Credit for Economics 695 and 611.55 will not be allowed.,none
697,Research Methods IV,ECON 697,Admission into the Master of Arts Economics (course-based) program.    ,Credit for Economics 697 and 611.57 will not be allowed.,none
705,Advanced Econometrics I,ECON 705,Admission to the PhD program in Economics.,none,none
707,Advanced Microeconomic Theory I,ECON 707,none,none,none
709,Advanced Macroeconomic Theory I,ECON 709,none,none,none
711,Independent Study,ECON 711,none,none,none
715,Advanced Econometrics II,ECON 715,Economics 705.,none,none
717,Advanced Topics in Econometrics ,ECON 717,Economics 705. ,none,none
723,Trade$ Growth and the Environment I,ECON 723,none,Credit for Economics 723 and 611.10 will not be allowed.,none
725,Trade$ Growth and the Environment II,ECON 725,none,none,none
757,Advanced Microeconomic Theory II,ECON 757,Economics 707. ,none,none
759,Advanced Macroeconomic Theory II,ECON 759,Economics 709. ,none,none
791,PhD Research Workshop,ECON 791,Admission to the PhD program in Economics.,none,none
793,PhD Research Workshop II,ECON 793,Economics 791 and admission to the PhD program in Economics.,none,none
