501,Co-operative Placement in Actuarial Science,COOP 501,none,none,none
503,Co-operative Placement in Applied Chemistry,COOP 503,none,none,none
511,Co-operative Placement in Arts,COOP 511,none,none,none
523,Co-operative Placement in Business,COOP 523,none,none,none
543,Co-operative Placement in Ecology,COOP 543,none,none,none
