600,Introduction to Graduate Studies in Languages$ Literatures and Cultures,LLAC 600,Admission to the LLAC graduate program.,none,none
601,Additional Language Pedagogy,LLAC 601,Admission to the LLAC graduate program.  ,none,none
602,Research Methods in Applied Linguistics,LLAC 602,Admission to the LLAC graduate program.,none,none
603,Theory and Methods of Literary and Cultural Studies,LLAC 603,Admission to the LLAC graduate program.,none,none
612,Topics in Applied Linguistics ,LLAC 612,Admission to the LLAC graduate program.,none,none
614,Topics in Transcultural Studies ,LLAC 614,Admission to the LLAC graduate program.,none,none
699,Topics in Transcultural Studies,LLAC 699,Admission to the LLAC graduate program. ,none,none
