510,Religion$ Politics$ and Culture in Early Modern Europe ,HTST 510,History 300 and 3 units from 326$ 327 or 426. ,Credit for History 510 and 509 will not be allowed.,none
511,Topics in Gender and Sexuality in History,HTST 511,none,none,none
514,Topics in Britain and the Wider World$ 1500-1800,HTST 514,History 300.,none,none
517,Social and Political History of Modern Britain,HTST 517,History 300. ,none,none
518,Topics in Twentieth-Century German History,HTST 518,History 300.,none,none
520,Canada and the First World War,HTST 520,History 300. ,none,none
521,Canadian Biography,HTST 521,History 300. ,none,none
523,Topics in Alberta History,HTST 523,History 300.,none,none
526,The Canadian Military in the Second World War,HTST 526,History 300 and 349 or 431.,none,none
528,Exchange$ Trade$ and Cultural Encounter in North America,HTST 528,History 300.,Credit for History 528 and either 593.10 or 593.18 will not be allowed.,none
529,Topics in Indigenous History,HTST 529,History 300.,none,none
530,Topics in Canadian Foreign and Defence Policy from 1919 to the Cold War Era,HTST 530,History 300 and one course in Canadian History.   ,none,none
535,Topics in American History,HTST 535,History 300.,none,none
537,American Memories,HTST 537,History 300.,Credit for History 537 and 535.08 will not be allowed.,none
539,Oral History,HTST 539,History 300.,none,none
540,Topics in Medieval History,HTST 540,History 300.,none,none
541,Topics in the History of Science,HTST 541,History 300.,none,none
544,Topics in Great Power Diplomacy and Intelligence,HTST 544,History 300 and 3 units from 483$ 485$ 489$ 491.01$ 491.02.   ,none,none
545,Topics in Military History,HTST 545,History 300 and 3 units from 349$ 379$ 381$ 383$ 431$ 471$ 481$ 483$ 485$ 489$ 491.,none,none
546,Formation of Anglo-Saxon Kingdoms,HTST 546,History 300 and 3 units of History 319$ 321$ or Greek and Roman Studies 347.,none,none
547,Chinese Strategic Thought ,HTST 547,History 300.,none,none
551,Women in Canadian Politics ,HTST 551,History 300. ,none,none
565,Slavery in Latin America and the Caribbean$ 1492-1888,HTST 565,History 300. ,none,none
569,Latin America and the Outside World,HTST 569,History 300. ,none,none
573,Topics in African History,HTST 573,none,none,none
591,Directed Reading and Research,HTST 591,History 300 and consent of the Department.,none,none
593,Selected Topics in History,HTST 593,History 300. ,none,none
597,Honours Directed Reading,HTST 597,History 300 and consent of the Department.  ,Credit for History 597 and 596 will not be allowed.,none
598,Honours Writing Seminar,HTST 598,History 300 and consent of the Department. ,none,none
601,Topics in Imperial History,HTST 601,none,none,none
603,Topics in Religious History,HTST 603,none,none,none
607,Topics in Western Canadian History,HTST 607,none,none,none
623,Topics in Canadian History,HTST 623,none,none,none
633,Topics in Modern European History,HTST 633,none,none,none
637,Topics in Military History,HTST 637,none,none,none
639,Topics in History of Science,HTST 639,none,none,none
641,Topics in Medieval or Early Modern European History,HTST 641,none,none,none
645,Topics in U.S. History,HTST 645,none,none,none
647,Topics in Latin American History,HTST 647,none,none,none
651,Research Essay I,HTST 651,none,none,none
653,Research Essay II,HTST 653,none,none,none
655,Classics of Strategy,HTST 655,none,none,none
673,Topics in Legal History,HTST 673,none,none,none
675,Selected Topics in History,HTST 675,none,none,none
690,Historiography and the Theories of History,HTST 690,none,none,none
691,Conference Course in Special Topics,HTST 691,none,none,none
791,Conference Course in Special Topics (Advanced Level),HTST 791,none,none,none
795,Advanced Seminar in Historiographical Interpretations,HTST 795,none,none,none
