211,Latin America: People, Places and Popular Culture,LAST211,none,Credit for Latin American Studies 211 and 201 will not be allowed.,none
301,Field Study in Latin America,LAST301,Consent of the Program Co-ordinator.,none,none
303,Latin American Field Research,LAST303,Consent of the Program Co-ordinator.,none,none
311,Critical Contemporary Issues in Latin America,LAST311,none,Credit for Latin American Studies 311 and 203 will not be allowed.,none
401,Integrative Seminar in Latin American Studies,LAST401,Latin American Studies 201 or 211; and 203 or 311, and 48 units.,none,none
501,Directed Study in Latin American Studies,LAST501,48 units and consent of the Program Co-ordinator.,none,none
