203,Understanding South Asia,SAST 203,none,Credit for South Asian Studies 203 and 315 will not be allowed.,none
303,Contemporary Indian Society and Culture,SAST 303,South Asian Studies 203 or 315.,Credit for South Asian Studies 303 and 415 will not be allowed.,none
499,Topics in South Asian Studies ,SAST 499,3 units from South Asian Studies 203$ 303$ 315 or 415.,none,none
531,Supervised Research in South Asian Studies,SAST 531,3 units from South Asian Studies 203$ 303$ 315 or 415 and consent of the Program Co-ordinator.,none,none
